"Tabela 987 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e faixas de pessoal ocupado total"
"Faixas de pessoal ocupado";"Total"
"Unidade da Federação";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Variável X Ano"
;;"Número de empresas e outras organizações (Unidades)";;;;;;;"Pessoal ocupado total (Pessoas)";;;;;;;"Pessoal ocupado assalariado (Pessoas)";;;;;;;"Salários e outras remunerações (Mil Reais)";;;;;;;"Salário médio mensal (Salários mínimos)"
;;"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Rondônia";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";178;176;339;283;339;317;358;964;1075;1826;1664;1636;1611;1869;669;721;1306;1182;1145;1118;1307;6299;6430;11771;12181;14333;15883;19218;1,9;1,9;1,8;1,8;1,8;1,8;1,7
"Rondônia";"B Indústrias extrativas";79;85;86;113;115;127;128;647;792;791;927;1077;1669;1334;536;667;658;756;920;1492;1082;5172;7334;7506;10682;13692;18704;19538;2,4;2,3;2,1;2,2;2,4;2,3;2,2
"Rondônia";"C Indústrias de transformação";2545;2617;2544;2632;2842;2705;2713;26189;28798;26582;27006;28681;31495;34098;22626;24911;22821;23197;24813;27595;30113;174813;206682;221317;238930;288461;332779;423254;1,7;1,8;1,8;1,7;1,8;1,7;1,7
"Rondônia";"D Eletricidade e gás";24;28;28;28;31;34;32;910;1087;1188;1248;1256;1328;1617;875;1023;1130;1175;1182;1246;1518;41001;49763;55418;65577;73901;84153;96367;11,2;10,5;9,8;9,4;9,4;9,9;8,7
"Acre";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";85;77;81;89;91;93;92;1035;953;1025;1082;645;768;709;940;821;911;935;514;628;508;12369;10136;13047;14633;6521;7306;6229;2,8;2,5;2,7;2,6;1,6;1,6;1,4
"Acre";"B Indústrias extrativas";17;21;21;20;21;22;23;404;146;260;109;101;105;111;376;115;227;74;73;75;85;1573;642;1784;592;807;914;882;1,2;1,3;1,5;1,6;1,7;1,9;1,5
"Acre";"C Indústrias de transformação";573;551;662;580;706;661;658;4724;5747;5208;5373;6400;6682;6699;4056;5025;4401;4686;5618;5916;5880;27345;37698;34258;40687;51592;63000;69802;1,6;1,5;1,5;1,5;1,5;1,6;1,4
"Acre";"D Eletricidade e gás";1;1;3;1;-;3;2;X;X;251;X;-;296;X;X;X;248;X;-;294;X;X;X;9075;X;-;22783;X;X;X;6,7;X;-;11,1;X
"Amazonas";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";149;146;215;217;177;179;183;705;830;870;716;1037;1075;892;501;621;609;490;805;833;583;3901;5038;5235;4139;6201;8652;7981;1,7;1,6;1,6;1,5;1,3;1,3;1,5
"Amazonas";"B Indústrias extrativas";21;24;30;35;43;45;46;60;119;123;946;1227;500;1272;35;55;80;905;1164;428;1206;449;381;629;22574;41467;7769;51876;2,9;1,8;1,6;4,2;5,6;2,8;5,7
"Amazonas";"C Indústrias de transformação";2043;2127;2187;2262;2383;2329;2366;118735;121900;127650;125807;134291;150824;144110;116107;119011;124628;122731;131182;147622;140803;2417485;2386590;2832623;2961281;3239843;4252636;4356531;4,7;4,2;4,3;4,2;3,9;4,2;3,7
"Amazonas";"D Eletricidade e gás";13;15;14;12;19;15;15;2109;2394;3646;2543;2581;2610;2553;2083;2376;3622;2532;2560;2591;2526;85173;104262;119694;149084;171005;199188;211189;9,8;9,2;6,4;9,8;10,2;10,9;10,3
"Roraima";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";94;73;88;83;83;78;79;565;635;538;425;280;427;476;384;485;396;277;156;315;358;1796;5435;4324;3921;4380;5355;5590;1,0;2,4;3,1;2,5;2,5;2,4;2,2
"Roraima";"B Indústrias extrativas";7;8;13;12;11;12;10;37;58;63;105;90;153;73;29;46;49;85;69;139;52;196;347;431;695;773;2369;563;1,5;1,7;1,7;1,6;1,7;2,6;0,8
"Roraima";"C Indústrias de transformação";291;298;348;316;382;350;338;1558;1757;2146;2341;2582;3010;2506;1224;1388;1703;1954;2116;2557;2070;7401;9112;11889;16576;18690;22646;24095;1,4;1,4;1,4;1,6;1,4;1,5;1,4
"Roraima";"D Eletricidade e gás";1;2;2;2;2;3;4;X;X;X;X;X;957;949;X;X;X;X;X;957;948;X;X;X;X;X;54116;59119;X;X;X;X;X;8,0;7,7
"Pará";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";920;965;1053;977;998;1021;961;11889;10763;15356;14545;16528;17458;20638;10663;9328;13806;13017;15039;15908;19108;81302;79826;145856;140705;176435;206869;271159;1,6;1,8;1,9;1,8;1,8;1,9;1,8
"Pará";"B Indústrias extrativas";100;95;112;124;161;165;193;2714;3145;3313;2538;4069;4439;4738;2579;2994;3176;2345;3854;4190;4431;65603;91155;102938;86860;109380;186361;238688;5,9;6,5;6,2;6,2;5,8;6,5;6,5
"Pará";"C Indústrias de transformação";4268;4380;4470;4546;4817;4785;4927;94441;98995;86557;86424;93799;95381;90961;88274;92411;79851;79645;86983;88370;83613;831396;974737;987785;1026938;1216006;1418172;1592300;2,1;2,2;2,3;2,3;2,2;2,3;2,2
"Pará";"D Eletricidade e gás";7;11;16;14;13;13;14;2197;2687;2263;2747;2828;2840;2232;2185;2665;2227;2717;2797;2805;2186;62600;79156;71287;86076;95484;108323;90880;6,3;6,2;6,0;5,3;5,2;5,6;5,0
"Amapá";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";41;43;45;46;46;56;46;531;647;408;178;190;333;396;470;586;345;107;106;248;299;3612;3886;4527;1690;1131;2454;2541;1,5;1,6;1,6;1,5;1,2;1,3;1,3
"Amapá";"B Indústrias extrativas";19;21;26;30;34;35;28;801;1315;757;403;641;1128;1899;779;1276;710;340;584;1071;1844;15209;23311;25357;11024;10590;18954;53231;3,7;4,5;7,4;4,2;3,7;3,1;3,9
"Amapá";"C Indústrias de transformação";305;332;355;388;427;452;413;2962;3318;3519;3736;3861;4159;3974;2552;2812;3094;3268;3331;3593;3446;25041;30342;34729;35779;37349;39590;41758;2,2;2,2;2,1;2,0;1,7;1,8;1,5
"Amapá";"D Eletricidade e gás";3;4;4;3;3;3;2;154;690;851;821;840;855;X;149;684;845;820;832;851;X;6464;12282;19196;21724;28093;33905;X;9,1;5,0;4,5;4,3;4,9;5,5;X
